omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
0,0,0.594808872,2.601271313,3.504481432,0.095279156,0.016812255,0.01948112,1,4.973322882,10
0,0,2.623263305,3.135135504,2.079705791,0.591939372,0.008375491,0.193684029,1,3.716834486,10
0,0,0.601004727,1.239112185,4.491574321,0.142631491,0.007772532,0.069037156,1,3.471954003,10
0,0,0.157115713,2.602103286,2.497833791,0.031963216,0.005349629,0.028393995,1,5.72853852,10
0,0,1.015314667,3.252076414,3.257675953,0.269304137,0.082414572,0.112883137,1,8.30228373,10
0,0,0.177184139,2.104545865,2.131708812,0.028578906,0.005913131,0.221861533,1,8.772457756,10
0,0,0.909695172,2.375132238,1.013624892,0.047191892,0.013196488,0.08890287,1,9.056714746,10
0,0,3.389635624,2.272065126,1.615702762,0.003037024,0.025851651,0.143334712,1,3.631835392,10
0,0,0.078956836,3.687190925,1.034935213,0.002749438,0.052947906,0.213543049,1,9.390454652,10
3.764703182,0.05203031,3.602099089,4.792927139,2.179306933,0.01963945,0.000800852,0.101659123,1,2.775113369,10
1.685378618,0.001720339,0.019436983,3.21011455,1.866660604,0.151676428,0.006844351,0.152821573,1,4.155344354,10
0,0,0.427822012,4.054340977,1.266922832,0.005793971,0.072688238,0.114099753,1,1.336104247,10
0,0,4.641588834,2.170299306,0.819691412,0.021559236,0.005979297,0.022500019,1,2.967946704,10
3.667058564,0.098685036,3.345433837,3.961209736,2.749082887,0.254472329,0.018212728,0.19770516,1,2.363677989,10
0,0,7.103708772,2.535862601,3.638454555,0.044102626,0.004082812,0.128295273,1,3.993248631,10
0,0,4.011994565,1.866198278,3.095371362,0.006174177,0.000567506,0.044837412,1,6.246995137,10
0,0,4.065003334,4.989050212,0.950361239,0.003216257,0.032039765,0.230437284,1,3.557929102,10
0,0,7.648712885,3.57024896,4.063651183,0.034846103,0.003857766,0.09302851,1,2.013648829,10
0,0,4.848066372,4.94700665,3.780859415,0.006382348,0.000728382,0.242728143,1,0.555518146,10
1.054656292,0.036957275,0.019721025,1.10829616,2.153743201,0.256768033,0.0433602,0.167761058,1,7.86007846,10
0,0,1.888111349,1.020552053,1.4049189,0.03718408,0.009451027,0.10929878,1,2.567544115,10
0,0,0.017415025,4.428807174,1.734323805,0.145719057,0.076279108,0.194966491,1,9.794468,10
0,0,1.156927996,4.709969384,3.376191127,0.19707406,0.023825876,0.199961946,1,3.037139608,10
0,0,1.561418612,3.618212695,3.387318251,0.984236145,0.002607791,0.0454031,1,4.293817471,10
