omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
4.351752110998767,0.15602481154711043,6.0,2.0,2.9000000000000004,0.04,0.001,0.05,1,1.5,10.0
4.91133361770288,0.2249713178828189,6.0,1.5,3.7,0.06,0.001,0.02,1,0.5,10.0
3.77534743808767,0.022016505634035836,2.0,2.0,2.9000000000000004,0.04,0.002,0.09,1,1.0,10.0
3.1782150481670053,0.09101052902355539,4.0,1.5,2.1,0.04,0.002,0.05,1,1.2000000000000002,10.0
0.0,0.0,1.0,1.5,4.5,0.02,0.0015,0.01,1,1.3,10.0
2.578596634805158,-0.06605296381836738,1.0,1.0,2.1,0.04,0.002,0.04,1,0.5,10.0
5.916566667438607,0.20940500476524423,5.0,1.0,4.5,0.02,0.001,0.02,1,0.4,10.0
2.1834081180777614,0.027765823198760933,1.0,2.0,1.3,0.02,0.0015,0.04,1,0.6000000000000001,10.0
2.968132048335233,0.06984298217869729,4.0,1.0,2.1,0.06,0.0015,0.06999999999999999,1,0.5,10.0
4.226978279238156,-0.00437813022602046,2.0,1.5,3.7,0.06,0.0025,0.05,1,0.9,10.0
5.179963601827752,-0.09232630741188111,7.0,1.0,4.5,0.08,0.0005,0.06999999999999999,1,1.9000000000000001,10.0
1.0552122823251888,-0.03167199713418691,9.0,1.5,0.5,0.06,0.001,0.03,1,0.9,10.0
1.9351529583994656,0.03405522645884533,1.0,1.5,1.3,0.08,0.0025,0.060000000000000005,1,1.6,10.0
3.247547940695047,0.04645520345414019,4.0,1.0,2.1,0.02,0.0015,0.060000000000000005,1,0.0,10.0
5.568243033411563,0.2292908355190151,4.0,2.0,4.5,0.06,0.0015,0.01,1,0.9,10.0
4.194248292075706,-1.3788659150346922,9.0,2.0,0.5,0.04,0.0025,0.01,1,0.1,10.0
3.0195722007041215,-0.05868903665597451,1.0,2.0,2.1,0.02,0.002,0.05,1,0.6000000000000001,10.0
2.65272205930665,0.004238188779136163,7.0,2.0,1.3,0.04,0.0015,0.05,1,0.5,10.0
5.560170156799435,0.1814060640088038,9.0,1.0,3.7,0.02,0.002,0.09,1,1.9000000000000001,10.0
2.5436359144022203,-0.20778558404472602,9.0,1.0,1.3,0.04,0.0005,0.06999999999999999,1,0.6000000000000001,10.0
2.47204592217333,0.02423282944408282,4.0,1.5,1.3,0.02,0.0005,0.05,1,0.8,10.0
2.2780654039278048,0.03896274275749236,5.0,1.0,1.3,0.06,0.0015,0.04,1,1.4000000000000001,10.0
0.9721076686820935,-0.001649983022372071,1.0,1.0,0.5,0.02,0.0005,0.04,1,1.8,10.0
