n,m,rho_tor,omega_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
6,32,0.966301065,21.138373884370832,0.054747797153289396,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.6,11.30303037
6,32,0.966301065,21.132031581764394,0.05450138946121845,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.65,11.30303037
6,32,0.966301065,21.125179764603725,0.05423523834521409,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.7,11.30303037
6,32,0.966301065,21.117817942479835,0.053949336106273144,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.75,11.30303037
6,32,0.966301065,21.109945589162038,0.05364367425000329,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.8,11.30303037
6,32,0.966301065,21.101562142728767,0.05331824343370601,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.85,11.30303037
6,32,0.966301065,21.092667005731553,0.052973033410461605,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.9,11.30303037
6,32,0.966301065,21.083259545371106,0.05260803296626966,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.95,11.30303037
6,32,0.966301065,21.073339093700195,0.05222322985245659,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.0,11.30303037
6,32,0.966301065,21.0629049478589,0.05181861071186904,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.05,11.30303037
6,32,0.966301065,21.05195637033976,0.051394160998599336,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.1,11.30303037
6,32,0.966301065,21.04049258928892,0.05094986489119829,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.15,11.30303037
6,32,0.966301065,21.02851279884758,0.05048570519799603,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.2,11.30303037
6,32,0.966301065,21.01601615954439,0.05000166325512404,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.25,11.30303037
6,32,0.966301065,21.003001798726398,0.04949771881543487,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.3,11.30303037
6,32,0.966301065,20.98946881106223,0.04897384992846354,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.35,11.30303037
